Country,Year,Maximum Miitary Spend
Afghanistan,2010,266483016
Africa,2014,48787578379
Albania,1990,284669819
Algeria,2016,10515321072
Angola,2014,4789584966
Argentina,1979,9717748446
Armenia,2019,652000175
Asia,2020,618573232430
Australia,2020,27617686554
Austria,1986,3604513148
Azerbaijan,2015,2329543422
Bahrain,2014,1614608663
Bangladesh,2019,4348501895
Belarus,2020,785018880
Belgium,1981,8909199093
Belize,2018,24516471
Benin,2017,115788701
Bolivia,2014,722345944
Bosnia and Herzegovina,2002,369328784
Botswana,2016,571785876
Brazil,2018,27074280490
Brunei,2014,483410114
Bulgaria,1989,3993648241
Burkina Faso,2020,368214699
Burundi,2001,95260928
Cambodia,2020,634735997
Cameroon,2019,422294772
Canada,2020,22854074305
Cape Verde,2000,11611063
Central African Republic,2010,93205498
Chad,2009,686254477
Chile,2017,5195730541
China,2020,244933509535
Colombia,2019,10167547856
Congo,2014,657571685
Costa Rica,1949,0
Cote d'Ivoire,2016,609503244
Croatia,1995,2965432921
Cyprus,1992,931935276
Czechia,2005,3413275624
Czechoslovakia,1989,12186583223
Democratic Republic of Congo,2015,525260903
Denmark,2020,4838203273
Djibouti,1983,96168104
Dominican Republic,2020,627495894
Ecuador,2013,3011110031
Egypt,1977,7085339188
El Salvador,1984,819988785
Equatorial Guinea,2009,399368887
Eritrea,1999,1750384010
Estonia,2020,687161230
Eswatini,2016,93724782
Ethiopia,1999,1761095448
Europe,1988,582523225996
Fiji,2007,86232094
Finland,2020,3985993311
France,1991,51729568645
Gabon,2017,287633864
Gambia,2014,17177816
Georgia,2007,884837501
Germany,1990,61407531186
Ghana,2012,265598072
Greece,2009,9155263644
Guatemala,1984,671467679
Guinea,2015,249217802
Guinea-Bissau,2019,22571242
Guyana,1976,98775997
Haiti,1991,5483042
Honduras,2017,415677036
Hungary,1985,4611807844
Iceland,1949,0
India,2020,73000865183
Indonesia,2020,9487524780
Iran,1976,22527373743
Iraq,2015,9492675511
Ireland,2001,1245881006
Israel,2020,21065020776
Italy,2004,33837911567
Jamaica,2019,265261724
Japan,2020,48159534537
Jordan,2020,2082917903
Kazakhstan,2019,1928776022
Kenya,1979,1667243122
Kosovo,2020,76980356
Kuwait,1991,25171447116
Kyrgyzstan,2020,130127017
Laos,1994,250479534
Latvia,2020,739205727
Lebanon,2016,2937546240
Lesotho,2010,55818166
Liberia,2012,41013939
Libya,2013,9146580551
Lithuania,2020,1135309708
Luxembourg,2020,478877123
Madagascar,1979,130020411
Malawi,2019,87020933
Malaysia,2015,4605251545
Mali,2020,579852956
Malta,2019,83636364
Mauritania,2020,199308203
Mauritius,2016,23605462
Mexico,2019,6650808254
Moldova,2020,43135405
Mongolia,1990,128886753
Montenegro,2020,100344556
Morocco,2020,4794028978
Mozambique,2019,217451322
Myanmar,2015,3816696153
NATO members,2010,1150601744515
Namibia,2015,561466353
Nepal,2017,451255734
Netherlands,1982,13273685184
New Zealand,2020,3007543064
Nicaragua,1990,98872190
Niger,2019,247632083
Nigeria,1975,7325130044
North America,2010,888631389039
North Macedonia,2001,377930534
Norway,2019,7520413966
Oceania,2020,30787316063
Oman,2012,9805142036
Pakistan,2018,10523761959
Panama,1997,192487382
Papua New Guinea,1994,153803663
Paraguay,2020,390567833
Peru,1977,10265019785
Philippines,2017,4303138062
Poland,2020,12815477288
Portugal,1974,4963349982
Qatar,1982,4435950772
Romania,1986,9163266334
Russia,1988,281098770345
Rwanda,1991,150593773
Saudi Arabia,2015,88520209675
Senegal,2020,378444130
Serbia,2000,1478326311
Seychelles,2014,34022519
Sierra Leone,2016,43346664
Singapore,2020,11019813986
Slovakia,1995,1819036560
Slovenia,2009,727846809
Somalia,1978,164278507
South Africa,1988,5498280317
South America,2018,52653954630
South Korea,2020,46055696813
South Sudan,2011,2085318766
Spain,2007,19240814857
Sri Lanka,2015,1852242097
Sudan,2008,2494079264
Sweden,2020,6233806559
Switzerland,1990,7454718201
Taiwan,1993,13892467745
Tajikistan,1993,126079873
Tanzania,1978,658276163
Thailand,2020,7362140899
Timor,2009,57128261
Togo,2019,170566832
Trinidad and Tobago,2013,238158626
Tunisia,2020,1046117830
Turkey,2019,20603378497
Turkmenistan,1997,133993499
Uganda,2020,948138516
Ukraine,2020,5995031272
United Arab Emirates,2013,26584004047
United Kingdom,2009,64257202835
United States,2010,865268024824
Uruguay,1981,1760396728
Uzbekistan,2018,1506903860
Venezuela,2018,532548
Vietnam,2018,5603499209
World,2020,1910296125695
Yemen,2009,3841854197
Zambia,1986,373593934
Zimbabwe,2002,2818678643
